
lambda=0.05

 Loss2=0.0266, LossMSE=3.5090, LossGram=2.8430,Loss_Full=0.3604, Time=0.2526
0110 00379 Loss1=0.0153, Lambda=2.75, Loss2=0.0265, LossMSE=3.0222, LossGram=3.1442,Loss_Full=0.3500, Time=0.2745
0110 00380 Loss1=0.0144, Lambda=2.75, Loss2=0.0264, LossMSE=2.9399, LossGram=3.3236,Loss_Full=0.3539, Time=0.2266
0110 00381 Loss1=0.0165, Lambda=2.75, Loss2=0.0268, LossMSE=3.6750, LossGram=2.9748,Loss_Full=0.3758, Time=0.2580
0110 00382 Loss1=0.0174, Lambda=2.75, Loss2=0.0266, LossMSE=3.1277, LossGram=2.7206,Loss_Full=0.3364, Time=0.2547
0110 00383 Loss1=0.0169, Lambda=2.75, Loss2=0.0266, LossMSE=3.1193, LossGram=3.4286,Loss_Full=0.3709, Time=0.2478
0110 00384 Loss1=0.0185, Lambda=2.75, Loss2=0.0268, LossMSE=3.2197, LossGram=2.8934,Loss_Full=0.3509, Time=0.2360
0110 00385 Loss1=0.0189, Lambda=2.75, Loss2=0.0270, LossMSE=3.2138, LossGram=2.7893,Loss_Full=0.3461, Time=0.2541
0110 00386 Loss1=0.0164, Lambda=2.75, Loss2=0.0268, LossMSE=2.9335, LossGram=3.5975,Loss_Full=0.3697, Time=0.2483
0110 00387 Loss1=0.0165, Lambda=2.75, Loss2=0.0269, LossMSE=3.3069, LossGram=2.9574,Loss_Full=0.3566, Time=0.2562
0110 00388 Loss1=0.0153, Lambda=2.75, Loss2=0.0268, LossMSE=3.2179, LossGram=3.6317,Loss_Full=0.3846, Time=0.2523
0110 00389 Loss1=0.0175, Lambda=2.75, Loss2=0.0269, LossMSE=3.1638, LossGram=2.9247,Loss_Full=0.3488, Time=0.2402
0110 00390 Loss1=0.0139, Lambda=2.75, Loss2=0.0265, LossMSE=2.7953, LossGram=3.7276,Loss_Full=0.3666, Time=0.2419
0110 00391 Loss1=0.0156, Lambda=2.75, Loss2=0.0265, LossMSE=2.9854, LossGram=3.1100,Loss_Full=0.3468, Time=0.2533
0110 00392 Loss1=0.0179, Lambda=2.75, Loss2=0.0264, LossMSE=3.1050, LossGram=2.7734,Loss_Full=0.3382, Time=0.2318
0110 00393 Loss1=0.0144, Lambda=2.75, Loss2=0.0263, LossMSE=2.8427, LossGram=3.5267,Loss_Full=0.3592, Time=0.2280
0110 00394 Loss1=0.0161, Lambda=2.75, Loss2=0.0264, LossMSE=3.2632, LossGram=2.8942,Loss_Full=0.3504, Time=0.2531
0110 00395 Loss1=0.0161, Lambda=2.75, Loss2=0.0263, LossMSE=3.0477, LossGram=3.0245,Loss_Full=0.3460, Time=0.2487
0110 00396 Loss1=0.0160, Lambda=2.75, Loss2=0.0262, LossMSE=3.0937, LossGram=2.8890,Loss_Full=0.3413, Time=0.2537
0110 00397 Loss1=0.0163, Lambda=2.75, Loss2=0.0266, LossMSE=3.3100, LossGram=3.0036,Loss_Full=0.3585, Time=0.2509
0110 00398 Loss1=0.0157, Lambda=2.75, Loss2=0.0262, LossMSE=2.9334, LossGram=3.3919,Loss_Full=0.3581, Time=0.2571
0110 00399 Loss1=0.0149, Lambda=2.75, Loss2=0.0261, LossMSE=2.9391, LossGram=3.2339,Loss_Full=0.3497, Time=0.2253
0110 00400 Loss1=0.0166, Lambda=2.75, Loss2=0.0263, LossMSE=2.9005, LossGram=3.2428,Loss_Full=0.3501, Time=0.2435
0110 00401 Loss1=0.0180, Lambda=2.75, Loss2=0.0262, LossMSE=3.1017, LossGram=2.9511,Loss_Full=0.3469, Time=0.2421
0110 00402 Loss1=0.0155, Lambda=2.75, Loss2=0.0262, LossMSE=2.8981, LossGram=3.1305,Loss_Full=0.3431, Time=0.2384
0110 00403 Loss1=0.0155, Lambda=2.75, Loss2=0.0264, LossMSE=2.8863, LossGram=3.3116,Loss_Full=0.3518, Time=0.2451
0110 00404 Loss1=0.0161, Lambda=2.75, Loss2=0.0264, LossMSE=2.7985, LossGram=3.1179,Loss_Full=0.3384, Time=0.2346
0110 00405 Loss1=0.0159, Lambda=2.75, Loss2=0.0264, LossMSE=3.2604, LossGram=3.0303,Loss_Full=0.3568, Time=0.2614
0110 00406 Loss1=0.0172, Lambda=2.75, Loss2=0.0265, LossMSE=3.2069, LossGram=2.8103,Loss_Full=0.3445, Time=0.2436
0110 00407 Loss1=0.0163, Lambda=2.75, Loss2=0.0265, LossMSE=3.1134, LossGram=3.2286,Loss_Full=0.3599, Time=0.2439
0110 00408 Loss1=0.0164, Lambda=2.75, Loss2=0.0265, LossMSE=3.0417, LossGram=3.1872,Loss_Full=0.3543, Time=0.2561
0110 00409 Loss1=0.0151, Lambda=2.75, Loss2=0.0262, LossMSE=3.0135, LossGram=3.5765,Loss_Full=0.3708, Time=0.2541
0110 00410 Loss1=0.0140, Lambda=2.75, Loss2=0.0264, LossMSE=3.0912, LossGram=3.4490,Loss_Full=0.3673, Time=0.2513
0110 00411 Loss1=0.0150, Lambda=2.75, Loss2=0.0266, LossMSE=3.2581, LossGram=3.2132,Loss_Full=0.3652, Time=0.2464
0110 00412 Loss1=0.0160, Lambda=2.75, Loss2=0.0268, LossMSE=3.4469, LossGram=3.0886,Loss_Full=0.3696, Time=0.2628
0110 00413 Loss1=0.0154, Lambda=2.75, Loss2=0.0266, LossMSE=3.1707, LossGram=3.3058,Loss_Full=0.3659, Time=0.2550
0110 00414 Loss1=0.0163, Lambda=2.75, Loss2=0.0267, LossMSE=2.9006, LossGram=3.3202,Loss_Full=0.3540, Time=0.2428
0110 00415 Loss1=0.0146, Lambda=2.75, Loss2=0.0266, LossMSE=3.1532, LossGram=3.4079,Loss_Full=0.3693, Time=0.2400
0110 00416 Loss1=0.0159, Lambda=2.75, Loss2=0.0267, LossMSE=3.0765, LossGram=3.5844,Loss_Full=0.3756, Time=0.2558
0110 00417 Loss1=0.0159, Lambda=2.75, Loss2=0.0267, LossMSE=2.8811, LossGram=3.6305,Loss_Full=0.3682, Time=0.2539
0110 00418 Loss1=0.0159, Lambda=2.75, Loss2=0.0267, LossMSE=3.2379, LossGram=3.2081,Loss_Full=0.3649, Time=0.2555
