系数为都为1

da=2.75, Loss2=0.0270, LossMSE=3.2928, LossGram=2.7760,Loss_Full=6.1149, Time=0.2549
0110 00390 Loss1=0.0149, Lambda=2.75, Loss2=0.0266, LossMSE=2.9467, LossGram=3.6144,Loss_Full=6.6027, Time=0.2411
0110 00391 Loss1=0.0174, Lambda=2.75, Loss2=0.0268, LossMSE=3.1798, LossGram=3.2233,Loss_Full=6.4473, Time=0.2559
0110 00392 Loss1=0.0151, Lambda=2.75, Loss2=0.0265, LossMSE=2.9998, LossGram=3.3061,Loss_Full=6.3475, Time=0.2590
0110 00393 Loss1=0.0161, Lambda=2.75, Loss2=0.0262, LossMSE=2.7825, LossGram=3.3526,Loss_Full=6.1774, Time=0.2615
0110 00394 Loss1=0.0149, Lambda=2.75, Loss2=0.0266, LossMSE=3.1524, LossGram=3.5047,Loss_Full=6.6986, Time=0.2335
0110 00395 Loss1=0.0184, Lambda=2.75, Loss2=0.0271, LossMSE=2.9858, LossGram=3.2498,Loss_Full=6.2812, Time=0.2552
0110 00396 Loss1=0.0150, Lambda=2.75, Loss2=0.0265, LossMSE=2.9213, LossGram=3.1656,Loss_Full=6.1284, Time=0.2425
0110 00397 Loss1=0.0150, Lambda=2.75, Loss2=0.0266, LossMSE=3.0095, LossGram=3.7352,Loss_Full=6.7864, Time=0.2569
0110 00398 Loss1=0.0180, Lambda=2.75, Loss2=0.0267, LossMSE=3.3895, LossGram=2.8866,Loss_Full=6.3208, Time=0.2494
0110 00399 Loss1=0.0160, Lambda=2.75, Loss2=0.0265, LossMSE=3.2986, LossGram=2.6845,Loss_Full=6.0255, Time=0.2537
0110 00400 Loss1=0.0157, Lambda=2.75, Loss2=0.0264, LossMSE=3.0469, LossGram=3.1420,Loss_Full=6.2310, Time=0.2495
0110 00401 Loss1=0.0147, Lambda=2.75, Loss2=0.0264, LossMSE=3.0811, LossGram=3.2271,Loss_Full=6.3494, Time=0.2420
0110 00402 Loss1=0.0160, Lambda=2.75, Loss2=0.0267, LossMSE=3.2483, LossGram=3.0937,Loss_Full=6.3847, Time=0.2547
0110 00403 Loss1=0.0187, Lambda=2.75, Loss2=0.0267, LossMSE=3.4333, LossGram=2.5238,Loss_Full=6.0025, Time=0.2598
0110 00404 Loss1=0.0137, Lambda=2.75, Loss2=0.0264, LossMSE=3.0340, LossGram=3.6019,Loss_Full=6.6760, Time=0.2507
0110 00405 Loss1=0.0153, Lambda=2.75, Loss2=0.0263, LossMSE=3.2663, LossGram=3.1584,Loss_Full=6.4663, Time=0.2536
0110 00406 Loss1=0.0170, Lambda=2.75, Loss2=0.0266, LossMSE=3.1116, LossGram=2.8062,Loss_Full=5.9615, Time=0.2390
0110 00407 Loss1=0.0131, Lambda=2.75, Loss2=0.0265, LossMSE=3.0024, LossGram=3.8781,Loss_Full=6.9200, Time=0.2417
0110 00408 Loss1=0.0179, Lambda=2.75, Loss2=0.0266, LossMSE=3.2511, LossGram=2.3176,Loss_Full=5.6131, Time=0.2405
0110 00409 Loss1=0.0189, Lambda=2.75, Loss2=0.0266, LossMSE=3.3042, LossGram=2.8193,Loss_Full=6.1690, Time=0.2480
0110 00410 Loss1=0.0149, Lambda=2.75, Loss2=0.0265, LossMSE=3.1169, LossGram=3.1424,Loss_Full=6.3007, Time=0.2506
0110 00411 Loss1=0.0145, Lambda=2.75, Loss2=0.0264, LossMSE=2.9947, LossGram=3.2957,Loss_Full=6.3312, Time=0.2528
0110 00412 Loss1=0.0171, Lambda=2.75, Loss2=0.0265, LossMSE=3.1433, LossGram=2.9888,Loss_Full=6.1757, Time=0.2546
