lamda3=0.1

5, Loss2=0.0267, LossMSE=3.2610, LossGram=3.7285,Loss_Full=0.7402, Time=0.2415
0110 00343 Loss1=0.0151, Lambda=2.75, Loss2=0.0265, LossMSE=3.3085, LossGram=3.1776,Loss_Full=0.6902, Time=0.2540
0110 00344 Loss1=0.0150, Lambda=2.75, Loss2=0.0264, LossMSE=3.1104, LossGram=3.2412,Loss_Full=0.6766, Time=0.2264
0110 00345 Loss1=0.0168, Lambda=2.75, Loss2=0.0267, LossMSE=3.0352, LossGram=3.2116,Loss_Full=0.6682, Time=0.2541
0110 00346 Loss1=0.0162, Lambda=2.75, Loss2=0.0267, LossMSE=3.1611, LossGram=3.4910,Loss_Full=0.7081, Time=0.2421
0110 00347 Loss1=0.0168, Lambda=2.75, Loss2=0.0267, LossMSE=3.1474, LossGram=3.1866,Loss_Full=0.6769, Time=0.2542
0110 00348 Loss1=0.0163, Lambda=2.75, Loss2=0.0267, LossMSE=3.1977, LossGram=3.1909,Loss_Full=0.6818, Time=0.2431
0110 00349 Loss1=0.0163, Lambda=2.75, Loss2=0.0267, LossMSE=2.8054, LossGram=3.4536,Loss_Full=0.6689, Time=0.2554
0110 00350 Loss1=0.0168, Lambda=2.75, Loss2=0.0267, LossMSE=3.2244, LossGram=3.2314,Loss_Full=0.6891, Time=0.2380
0110 00351 Loss1=0.0158, Lambda=2.75, Loss2=0.0268, LossMSE=3.2082, LossGram=3.2371,Loss_Full=0.6871, Time=0.2523
0110 00352 Loss1=0.0141, Lambda=2.75, Loss2=0.0267, LossMSE=3.0253, LossGram=3.5618,Loss_Full=0.6996, Time=0.2529
0110 00353 Loss1=0.0187, Lambda=2.75, Loss2=0.0269, LossMSE=3.3427, LossGram=3.0885,Loss_Full=0.6887, Time=0.2564
0110 00354 Loss1=0.0159, Lambda=2.75, Loss2=0.0267, LossMSE=3.2652, LossGram=3.0871,Loss_Full=0.6778, Time=0.2533
0110 00355 Loss1=0.0163, Lambda=2.75, Loss2=0.0266, LossMSE=3.3872, LossGram=2.7471,Loss_Full=0.6564, Time=0.2412
0110 00356 Loss1=0.0173, Lambda=2.75, Loss2=0.0268, LossMSE=3.6436, LossGram=2.4123,Loss_Full=0.6497, Time=0.2539
0110 00357 Loss1=0.0153, Lambda=2.75, Loss2=0.0265, LossMSE=2.9171, LossGram=3.3760,Loss_Full=0.6711, Time=0.2497
0110 00358 Loss1=0.0173, Lambda=2.75, Loss2=0.0266, LossMSE=3.0914, LossGram=3.1564,Loss_Full=0.6687, Time=0.2533
0110 00359 Loss1=0.0130, Lambda=2.75, Loss2=0.0264, LossMSE=2.8727, LossGram=3.8266,Loss_Full=0.7094, Time=0.2619
0110 00360 Loss1=0.0171, Lambda=2.75, Loss2=0.0266, LossMSE=3.1618, LossGram=2.7731,Loss_Full=0.6372, Time=0.2567
0110 00361 Loss1=0.0148, Lambda=2.75, Loss2=0.0263, LossMSE=2.8271, LossGram=3.4284,Loss_Full=0.6667, Time=0.2644
0110 00362 Loss1=0.0148, Lambda=2.75, Loss2=0.0268, LossMSE=2.7185, LossGram=3.7026,Loss_Full=0.6837, Time=0.2529
0110 00363 Loss1=0.0172, Lambda=2.75, Loss2=0.0266, LossMSE=3.2340, LossGram=3.0380,Loss_Full=0.6710, Time=0.2592
0110 00364 Loss1=0.0172, Lambda=2.75, Loss2=0.0268, LossMSE=3.3105, LossGram=2.8015,Loss_Full=0.6552, Time=0.2445
0110 00365 Loss1=0.0195, Lambda=2.75, Loss2=0.0272, LossMSE=3.5082, LossGram=2.4820,Loss_Full=0.6457, Time=0.2406
0110 00366 Loss1=0.0151, Lambda=2.75, Loss2=0.0267, LossMSE=3.0475, LossGram=3.3465,Loss_Full=0.6812, Time=0.2562
0110 00367 Loss1=0.0163, Lambda=2.75, Loss2=0.0267, LossMSE=3.2363, LossGram=3.0295,Loss_Full=0.6696, Time=0.2565
0110 00368 Loss1=0.0170, Lambda=2.75, Loss2=0.0269, LossMSE=3.2618, LossGram=3.0142,Loss_Full=0.6715, Time=0.2422
0110 00369 Loss1=0.0187, Lambda=2.75, Loss2=0.0265, LossMSE=2.8933, LossGram=3.2248,Loss_Full=0.6571, Time=0.2570
0110 00370 Loss1=0.0150, Lambda=2.75, Loss2=0.0267, LossMSE=3.2593, LossGram=3.2037,Loss_Full=0.6879, Time=0.2530
0110 00371 Loss1=0.0157, Lambda=2.75, Loss2=0.0268, LossMSE=3.0809, LossGram=3.3933,Loss_Full=0.6898, Time=0.2533
0110 00372 Loss1=0.0150, Lambda=2.75, Loss2=0.0266, LossMSE=2.7709, LossGram=3.4885,Loss_Full=0.6675, Time=0.2481
0110 00373 Loss1=0.0190, Lambda=2.75, Loss2=0.0268, LossMSE=3.1273, LossGram=2.8109,Loss_Full=0.6396, Time=0.2439
0110 00374 Loss1=0.0153, Lambda=2.75, Loss2=0.0268, LossMSE=2.8781, LossGram=3.5513,Loss_Full=0.6850, Time=0.2431
0110 00375 Loss1=0.0162, Lambda=2.75, Loss2=0.0266, LossMSE=3.1437, LossGram=3.3765,Loss_Full=0.6949, Time=0.2511
0110 00376 Loss1=0.0170, Lambda=2.75, Loss2=0.0268, LossMSE=3.4652, LossGram=2.9018,Loss_Full=0.6805, Time=0.2550
0110 00377 Loss1=0.0171, Lambda=2.75, Loss2=0.0269, LossMSE=2.9417, LossGram=3.4926,Loss_Full=0.6874, Time=0.2518
0110 00378 Loss1=0.0158, Lambda=2.75, Loss2=0.0265, LossMSE=2.9407, LossGram=3.0579,Loss_Full=0.6422, Time=0.2421
