 lamda =0.06


 Loss2=0.0267, LossMSE=3.3019, LossGram=3.3932,Loss_Full=0.4440, Time=0.2503
0110 00366 Loss1=0.0149, Lambda=2.75, Loss2=0.0267, LossMSE=3.2033, LossGram=3.2502,Loss_Full=0.4288, Time=0.2523
0110 00367 Loss1=0.0147, Lambda=2.75, Loss2=0.0263, LossMSE=3.1776, LossGram=3.3001,Loss_Full=0.4297, Time=0.2271
0110 00368 Loss1=0.0135, Lambda=2.75, Loss2=0.0264, LossMSE=2.9111, LossGram=3.5846,Loss_Full=0.4296, Time=0.2374
0110 00369 Loss1=0.0182, Lambda=2.75, Loss2=0.0264, LossMSE=3.0652, LossGram=2.6047,Loss_Full=0.3848, Time=0.2565
0110 00370 Loss1=0.0182, Lambda=2.75, Loss2=0.0261, LossMSE=2.9108, LossGram=2.8962,Loss_Full=0.3926, Time=0.2534
0110 00371 Loss1=0.0159, Lambda=2.75, Loss2=0.0263, LossMSE=2.9202, LossGram=3.2174,Loss_Full=0.4105, Time=0.2480
0110 00372 Loss1=0.0167, Lambda=2.75, Loss2=0.0266, LossMSE=3.2116, LossGram=3.1389,Loss_Full=0.4243, Time=0.2437
0110 00373 Loss1=0.0140, Lambda=2.75, Loss2=0.0262, LossMSE=2.8944, LossGram=3.5376,Loss_Full=0.4261, Time=0.2481
0110 00374 Loss1=0.0168, Lambda=2.75, Loss2=0.0264, LossMSE=3.1704, LossGram=3.1121,Loss_Full=0.4202, Time=0.2367
0110 00375 Loss1=0.0152, Lambda=2.75, Loss2=0.0263, LossMSE=3.2326, LossGram=3.0421,Loss_Full=0.4180, Time=0.2552
0110 00376 Loss1=0.0148, Lambda=2.75, Loss2=0.0265, LossMSE=3.1978, LossGram=3.3375,Loss_Full=0.4334, Time=0.2534
0110 00377 Loss1=0.0164, Lambda=2.75, Loss2=0.0263, LossMSE=2.8886, LossGram=3.0772,Loss_Full=0.4007, Time=0.2507
0110 00378 Loss1=0.0211, Lambda=2.75, Loss2=0.0267, LossMSE=3.2594, LossGram=2.3644,Loss_Full=0.3852, Time=0.2518
0110 00379 Loss1=0.0165, Lambda=2.75, Loss2=0.0264, LossMSE=3.0559, LossGram=3.1662,Loss_Full=0.4162, Time=0.2364
0110 00380 Loss1=0.0155, Lambda=2.75, Loss2=0.0260, LossMSE=2.8671, LossGram=3.4173,Loss_Full=0.4186, Time=0.2558
0110 00381 Loss1=0.0156, Lambda=2.75, Loss2=0.0263, LossMSE=3.0346, LossGram=3.2644,Loss_Full=0.4198, Time=0.2551
0110 00382 Loss1=0.0141, Lambda=2.75, Loss2=0.0264, LossMSE=2.9333, LossGram=3.6546,Loss_Full=0.4358, Time=0.2679
